10017,49948,16969,104432,26855,73763,35112,41856,31245,96378,49262,42822,97544,32912,115464,114906,112959,104384,102849,83176,99013,39795,116544,114199,106776,106893,109284,114877,79759,104244,13302,113115,105116,39268,83783,115837,31102,104136,59684,76255,107339,113365,15488,109739,81426,80833,116876,75300,100200,40212,50119
10072,35264,67156,59038,67317,32239,52367,96985,14669,3349,57849,64927,15067,7971,36992,12061,32959,16391,4425,97337,109924,110913,20590,15292,23727,108324,14777,52134,39793,86479,10450,102255,3445,1604,46825,18427,1402,1616,18877,21504,21476,11170,7939,31058,26424,8539,36566,578,33649,5891,94629
10083,112483,116218,52379,98259,109908,54277,100666,101479,97694,66015,92162,57565,44693,112466,112453,32480,69793,49939,29931,29594,28729,27483,28013,111633,23825,70331,42694,36034,39534,57152,111225,24411,69508,87254,19270,49124,59903,102849,32800,113246,73131,58035,21589,14437,13142,106595,25911,22073,87278,33857
10116,65674,65140,49688,84142,69377,88797,94992,90588,24230,58612,13721,102271,73420,23116,38093,48436,72169,45011,65420,76848,85407,78324,3297,63609,18713,20779,85184,47999,111939,101641,44185,95096,114755,111601,106548,113904,51199,21086,79441,77081,85370,60341,114263,56263,89394,95579,27523,59705,70574,6683
10127,34716,14084,110758,14668,26732,14777,24025,14659,49814,72451,49914,43450,21211,59903,35441,49841,8913,11762,87254,21426,64622,38566,114900,28505,15974,87565,11059,14209,89668,74736,72929,12845,112528,691,2611,92515,111741,5577,13187,12061,80079,96115,58934,14437,113031,71978,88237,13954,43439,2468
10138,90799,104415,102956,92805,72025,111647,103180,33237,9156,45379,80216,80631,103388,60549,100923,103037,56287,51408,43545,86468,38603,38245,87723,55587,48654,65379,79951,44512,24721,55015,108720,105012,29829,21865,68060,26681,107454,107793,44214,27620,53567,45952,45663,111366,107374,92819,76821,58118,100460,113662
10171,81931,69510,83066,77250,85244,74175,16867,73680,108044,90790,107693,23308,676,78448,10744,52290,82493,90592,102255,106397,85266,49202,79390,44969,71618,105903,60721,55490,49952,70491,77386,63852,40537,116515,116876,4484,117505,116510,40648,45961,116513,65843,70226,95404,23992,113904,28008,85307,90821,46414
10182,4999,4617,14552,45198,25313,14437,12061,5682,44534,41755,39016,14992,2375,74254,10715,22836,44317,28655,38512,43208,42248,105613,84575,20828,55350,58934,14777,91126,105138,29931,2248,36650,111225,13954,80632,68564,20704,69107,69717,4298,2415,23519,84733,42864,66368,115194,79771,113031,41514,114900
1019,24207,3428,26555,269,2016,3713,86898,6428,546,32362,19950,369,6502,34443,448,112496,8670,47618,12526,14647,802,6947,69859,650,82040,52766,13071,22558,1584,75936,9893,34685,116887,22914,32778,32248,7099,76703,65034,99382,4042,916,73993,11261,9479,108324,2371,53816,106841,90833
10226,110930,44534,63742,63113,35486,50288,75382,104782,12845,32592,23336,51568,59920,22232,61933,14609,7420,53095,35242,89770,111712,38417,82445,72528,27563,106640,89535,99929,89675,17314,75308,79162,50423,50746,88398,69472,82706,76201,43172,65458,93103,13584,25446,104104,114263,95181,78294,108992,102912,61720
10237,88484,4525,13370,2195,81155,40907,87254,13285,32683,51966,50374,99557,28944,111495,20110,117208,16339,21461,80324,25872,36152,18850,54432,20334,98817,21743,46255,102947,100826,23552,106598,67607,94439,47494,18295,13707,21716,25684,60736,1091,33381,89692,19973,63639,101654,68822,22863,27000,38583,2139
10259,35829,8714,35521,4678,74850,105972,58148,66500,59951,84500,20908,103842,99371,54139,103730,108011,100759,32592,64150,83431,57179,53038,72631,65879,103471,12171,88478,90266,83705,79569,63019,45116,91577,54639,111274,21250,93811,44281,44760,39063,9415,62707,55662,71192,73689,107499,8892,34443,9409,51806
10281,98064,56041,57637,55106,2092,88633,107962,108506,113378,82997,48069,30032,10730,57730,59085,24900,13751,62456,61648,83898,23285,63642,88634,28035,8287,80124,5820,96994,36616,99839,4970,29635,33638,18456,40129,2438,31931,7471,8493,32723,95002,68394,23272,47714,64526,86897,19730,455,37425,43439
10325,65751,40611,45530,41955,104003,10802,63075,9072,5125,1351,44378,85899,45811,2181,36065,43362,66440,30320,30800,60175,81173,27070,52766,48505,31112,104800,23308,84340,103504,1648,16255,27864,87542,103143,81447,65790,86262,114212,4166,76960,24178,98666,90108,103413,88116,80151,5341,93725,17495,21573
10336,37286,23169,11595,13126,67595,76261,37136,58020,71889,30177,80732,1171,74340,7272,102018,2152,57491,12454,103136,750,78873,19678,27851,24448,6096,74752,10400,96116,29901,9904,60256,65996,13902,20369,84719,41672,22495,83280,54338,12427,13302,105355,8843,30222,407,68691,105515,17574,16489,22540
