10017,49948,58502,66555,103414,15617,59397,51104,40212,16969,104432,26855,109739,81426,80833,107339,103882,29184,95439,49519,95445,102958,114906,112959,104384,102849,83176,99013,39795,116544,114199,106776,106893,109284,114877,79759,104244,13302,113115,105116,39268,83783,115837,31102,104136,59684,76255,113365,15488,116876,75300
10072,59038,67156,35264,64927,36992,94629,4340,15000,94155,21476,3349,11170,14669,67317,32239,15067,57849,578,5891,65393,21504,31058,26424,7971,2611,7939,7882,15974,2319,29931,4365,4230,33649,27885,4999,8539,2339,46602,36566,8564,114330,12061,32959,14777,16391,4425,97337,109924,110913,20590
10083,112483,116218,100666,52379,92162,101479,54277,97694,57565,66015,113610,61243,49939,29931,29594,28729,27483,28013,111633,23825,70331,42694,36034,39534,57152,111225,24411,69508,87254,19270,49124,59903,102849,32800,113246,73131,58035,21589,14437,13142,106595,25911,22073,87278,33857,27133,27312,58538,43064,10569
10116,65674,65140,39704,102958,113610,103414,51650,55823,95445,35234,116114,84142,64843,89877,81996,88797,104894,90588,76695,24230,112355,103396,25616,58612,88002,28139,75157,58504,13721,102271,67876,90891,73420,23116,68714,84563,88755,69531,38093,48436,72169,70904,115667,45011,101253,65420,87291,96191,99205,76848
10127,14084,34716,26732,110758,114900,28505,15974,87565,11059,14209,89668,74736,72929,112528,691,2611,92515,111741,5577,13187,12061,80079,96115,58934,14437,113031,71978,88237,13954,43439,2468,94298,4340,19834,2375,100972,4230,39475,38628,79771,95487,6568,29931,115194,79533,42651,24411,49787,4483,2420
10138,52410,103882,102958,90799,104415,102956,92805,72025,111647,103180,45379,80216,103388,60549,100923,103037,56287,51408,43545,87723,55587,48654,65379,79951,44512,24721,55015,108720,105012,29829,21865,68060,26681,107454,107793,44214,27620,53567,45952,45663,111366,107374,92819,76821,58118,100460,113662,53858,103815,37058
10171,81931,69510,83066,77250,85244,74175,16867,108044,90790,107693,676,23308,73680,65061,29184,113610,98411,39704,111140,64736,87513,103414,48392,116515,116876,4484,117505,116510,40648,45961,116513,65843,70226,95404,23992,113904,28008,85307,61177,23193,37871,42910,8937,32256,84834,15398,2248,13435,11915,12589
10182,4999,2248,5682,12061,25313,29931,14437,13954,36650,41755,111225,45198,14668,14552,23825,16391,20704,69107,44,30979,69717,80632,4298,2415,68564,23519,84733,42864,66368,110044,73581,58934,4617,91126,105138,109996,90568,8787,36789,117180,115194,79771,113031,41514,114900,90148,57786,9609,4541,64278
1019,2016,3428,24207,26555,269,39704,102958,113610,103414,51650,55823,95445,34443,14647,802,6947,69859,650,82040,52766,13071,22558,1584,75936,9893,34685,116887,22914,32778,32248,7099,76703,65034,99382,4042,916,73993,11261,9479,108324,2371,53816,106841,90833,6306,1663,6250,9369,92845,29042
10226,110930,44534,91206,28683,32592,23336,51568,59920,22232,61933,14609,7420,53095,35242,89770,111712,38417,72528,27563,106640,89535,99929,89675,17314,75308,79162,50423,50746,88398,69472,82706,76201,43172,65458,93103,13584,25446,104104,114263,95181,78294,108992,102912,61720,4349,103917,78831,76692,96366,116114
